Komentar,comment_clean,comment_preprocessing,comment_DLD,label
" @FahryMubarokr  
Gak usah mikir yg jauh jauh, petani butuh pupuk  tapi pupuk langka masyarakat bawah butuh pendidikan yg murah tapi sulit di dapat
Masyarakat bawah cuma butuh 2 perkara :
1  . Bisa makan kenyang 
2 . Bisa tidur ngorok 
Tapi itu sulit di raih karna upah minimum propinsi sangat memilukan, ingin  bayar uang sekolah  gaji gak cukup , boro boro mau bayar uang smester, 
Buat makan saja pas pasan sdh bersukur . Gimana bisa tidur ngorok? 
Itu lah penderitaan  rakyat kecil negeri kita 
Kalau mau menyalahkan daerah itu juga kurang pas, karna yg korupsi gede gedean justru pusat",gak usah mikir yg jauh jauh petani butuh pupuk tapi pupuk langka masyarakat bawah butuh pendidikan yg murah tapi sulit di dapat masyarakat bawah cuma butuh perkara bisa makan kenyang bisa tidur ngorok tapi itu sulit di raih karna upah minimum propinsi sangat memilukan ingin bayar uang sekolah gaji gak cukup boro boro mau bayar uang smester buat makan saja pas pasan sdh bersukur gimana bisa tidur ngorok itu lah penderitaan rakyat kecil negeri kita kalau mau menyalahkan daerah itu juga kurang pas karna yg korupsi gede gedean justru pusat,"['mikir', 'tani', 'butuh', 'pupuk', 'pupuk', 'langka', 'masyarakat', 'butuh', 'didik', 'murah', 'sulit', 'masyarakat', 'butuh', 'perkara', 'makan', 'kenyang', 'tidur', 'ngorok', 'sulit', 'raih', 'upah', 'minimum', 'propinsi', 'milu', 'bayar', 'uang', 'sekolah', 'gaji', 'bayar', 'uang', 'semester', 'makan', 'pas', 'syukur', 'tidur', 'ngorok', 'derita', 'rakyat', 'negeri', 'salah', 'daerah', 'korupsi', 'gede', 'gede', 'pusat']","['mikir', 'tani', 'butuh', 'pupuk', 'pupuk', 'langka', 'masyarakat', 'butuh', 'didik', 'murah', 'sulit', 'masyarakat', 'butuh', 'perkara', 'makan', 'kenyang', 'tidur', 'ngobrol', 'sulit', 'raih', 'upah', 'minimum', 'provinsi', 'milu', 'bayar', 'uang', 'sekolah', 'gaji', 'bayar', 'uang', 'semester', 'makan', 'pas', 'syukur', 'tidur', 'ngobrol', 'deret', 'rakyat', 'negeri', 'salah', 'daerah', 'korupsi', 'gede', 'gede', 'pusat']",Negatif
"​ @prabubaladewa3189 suaasta jg ujung ujungnya ke negara yg bayar  PA, emg suasta mau bangun yg bukan hak miliknya kalo ga di bayar. Yg punya hajat kan negara. Bukan suasta , suasta kan ngutangin dulu jatohnya. Dan sekarang emg sudah berapa suasta masuk ke sana? Suasta kan termasuk salah satunya investor asing... Emg sudh ada yg masuk?",suaasta jg ujung ujungnya ke negara yg bayar pa emg suasta mau bangun yg bukan hak miliknya kalo ga di bayar yg punya hajat kan negara bukan suasta suasta kan ngutangin dulu jatohnya dan sekarang emg sudah berapa suasta masuk ke sana suasta kan termasuk salah satunya investor asing emg sudh ada yg masuk,"['suasta', 'ujung', 'ujung', 'negara', 'bayar', 'swasta', 'bangun', 'hak', 'milik', 'bayar', 'hajat', 'negara', 'swasta', 'swasta', 'ngutangin', 'jatuh', 'swasta', 'masuk', 'swasta', 'salah', 'satu', 'invest', 'asing', 'masuk']","['suara', 'ujung', 'ujung', 'negara', 'bayar', 'swasta', 'bangun', 'hak', 'milik', 'bayar', 'hajat', 'negara', 'swasta', 'swasta', 'ngapain', 'jatuh', 'swasta', 'masuk', 'swasta', 'salah', 'satu', 'insect', 'asing', 'masuk']",Negatif
" @RachmadHidayat-xm7xc  semua orang anak sd jga tau itu hitung"" matematika dasar, tp kan yg dibagikan bkn cuma 600t blok. . 600t adh biaya yg dibutuhin utk IKN klo daerah lain dpt dana lain buat kepentingan lain. . anies itu bodoh bicaranya klo dicermati tp ada org bodoh yg gak cermat",xm xc semua orang anak sd jga tau itu hitung matematika dasar tp kan yg dibagikan bkn cuma t blok t adh biaya yg dibutuhin utk ikn klo daerah lain dpt dana lain buat kepentingan lain anies itu bodoh bicaranya klo dicermati tp ada org bodoh yg gak cermat,"['orang', 'anak', 'tau', 'hitung', 'matematika', 'dasar', 'bagi', 'bukan', 'blok', 'biaya', 'butuh', 'ikn', 'daerah', 'dana', 'penting', 'bodoh', 'bicara', 'cermat', 'orang', 'bodoh', 'cermat']","['orang', 'anak', 'tahu', 'hitung', 'matematika', 'dasar', 'bagi', 'bukan', 'blok', 'biaya', 'butuh', 'ikn', 'daerah', 'dana', 'penting', 'bodoh', 'bicara', 'cermat', 'orang', 'bodoh', 'cermat']",Negatif
" @roniaron8341 
Bang saya orang kampung yg tdk tau gemerlapnya kota 
Tulisan itu realita yg terjadi di kampung , untuk itu saya akan  mencoba buat perubahan
Masalah kalah atau menang itu bukan urusan saya, minimal saya sdh berusaha",bang saya orang kampung yg tdk tau gemerlapnya kota tulisan itu realita yg terjadi di kampung untuk itu saya akan mencoba buat perubahan masalah kalah atau menang itu bukan urusan saya minimal saya sdh berusaha,"['kakak', 'orang', 'kampung', 'tau', 'gemerlap', 'kota', 'tulis', 'realita', 'kampung', 'coba', 'ubah', 'kalah', 'menang', 'urus', 'minimal', 'usaha']","['kakak', 'orang', 'kampung', 'tahu', 'gemerlap', 'kota', 'tulis', 'reality', 'kampung', 'coba', 'ubah', 'kalah', 'menang', 'urus', 'minimal', 'usaha']",Positif
" @RachmadHidayat-xm7xc  tapi semua org tau klo ada org yg lbh bodoh dr dirinya gak tau apa"" tapi sok ngasih tau dan malah sok pintar semua org akan kesal melihat itu. . gua gak bilang gua pintar atau lbh pintar dr anis tp gua tau klo anis bicara bodoh soal IKN entah krn pendapat pribadinya yg keliru atau krn pendapat dan dorongan partai koalisi pengusungnya yg jelas itu kata"" bodoh bahkan tak ada pemikir cerdas yg berfikir utk mengatakannya kecuali org yg diharuskan mengkritik pemerintah",xm xc tapi semua org tau klo ada org yg lbh bodoh dr dirinya gak tau apa tapi sok ngasih tau dan malah sok pintar semua org akan kesal melihat itu gua gak bilang gua pintar atau lbh pintar dr anis tp gua tau klo anis bicara bodoh soal ikn entah krn pendapat pribadinya yg keliru atau krn pendapat dan dorongan partai koalisi pengusungnya yg jelas itu kata bodoh bahkan tak ada pemikir cerdas yg berfikir utk mengatakannya kecuali org yg diharuskan mengkritik pemerintah,"['orang', 'tau', 'orang', 'bodoh', 'tau', 'sok', 'ngasih', 'tau', 'sok', 'pintar', 'orang', 'kesal', 'pintar', 'pintar', 'tau', 'bicara', 'bodoh', 'ikn', 'dapat', 'pribadi', 'keliru', 'dapat', 'dorong', 'partai', 'koalisi', 'usung', 'bodoh', 'pikir', 'cerdas', 'pikir', 'kecuali', 'orang', 'harus', 'kritik', 'perintah']","['orang', 'tahu', 'orang', 'bodoh', 'tahu', 'so', 'ngawi', 'tahu', 'so', 'pintar', 'orang', 'kesal', 'pintar', 'pintar', 'tahu', 'bicara', 'bodoh', 'ikn', 'dapat', 'pribadi', 'keliru', 'dapat', 'dorong', 'partai', 'koalisi', 'usur', 'bodoh', 'pikir', 'cerdas', 'pikir', 'kecuali', 'orang', 'harus', 'kritik', 'perintah']",Negatif
"​ @RachmadHidayat-xm7xc Rakyat tidak butuh presiden yg pintar berkata-kata,karna yg dibutuhkan rakyat adalah kerja nyata dan bukti nyata 😊",xm xc rakyat tidak butuh presiden yg pintar berkata kata karna yg dibutuhkan rakyat adalah kerja nyata dan bukti nyata,"['rakyat', 'butuh', 'presiden', 'pintar', 'butuh', 'rakyat', 'kerja', 'nyata', 'bukti', 'nyata']","['rakyat', 'butuh', 'presiden', 'pintar', 'butuh', 'rakyat', 'kerja', 'nyata', 'bukti', 'nyata']",Positif
"biasa politik nanti ujung2nya lanjutkan karena terbentur UU, lagu lama reklamasi pantai waktu kandidat gubernur DKI Jakarta",biasa politik nanti ujung nya lanjutkan karena terbentur uu lagu lama reklamasi pantai waktu kandidat gubernur dki jakarta,"['politik', 'ujung', 'lanjut', 'bentur', 'lagu', 'reklamasi', 'pantai', 'kandidat', 'gubernur', 'dki', 'jakarta']","['politik', 'ujung', 'lanjut', 'bentar', 'lagu', 'reklame', 'pantai', 'kandidat', 'gubernur', 'dki', 'jakarta']",Negatif
"Perlu di ubah ini otaknya biar jln .. proyek² itu mna ada yg bnr , lihat lah di kampung yg sederhana saja",perlu di ubah ini otaknya biar jln proyek itu mna ada yg bnr lihat lah di kampung yg sederhana saja,"['ubah', 'otak', 'jln', 'proyek', 'lihat', 'kampung', 'sederhana']","['ubah', 'otak', 'jln', 'proyek', 'lihat', 'kampung', 'sederhana']",Negatif
Maju korupsi,maju korupsi,"['maju', 'korupsi']","['maju', 'korupsi']",Negatif
"Save NKRI Nusantara from anis sang penghianat negara

Kami Melanjutkan Dan Mendukung IKN demi Indonesia Makmur 👍🏻",save nkri nusantara from anis sang penghianat negara kami melanjutkan dan mendukung ikn demi indonesia makmur,"['simpan', 'nkri', 'nusantara', 'penghianat', 'negara', 'lanjut', 'dukung', 'ikn', 'indonesia', 'makmur']","['simpan', 'nkri', 'nusantara', 'penghangat', 'negara', 'lanjut', 'dukung', 'ikn', 'indonesia', 'makmur']",Positif
" @AnggaCahya-gx6nv Emang Tu pak Anis Endak bisa apa². Adanya IKN tu Biar Seluruh indo bisa Nanam Bahan pokok Enggak cuma Di Jawa,   Saya Setuju... Soalnya Beras Udah mahal 25kg 430rb di tempat aq",gx nv emang tu pak anis endak bisa apa adanya ikn tu biar seluruh indo bisa nanam bahan pokok enggak cuma di jawa saya setuju soalnya beras udah mahal kg rb di tempat aq,"['nv', 'endak', 'ikn', 'indonesia', 'nanam', 'bahan', 'pokok', 'jawa', 'tuju', 'beras', 'mahal']","['nv', 'endrak', 'ikn', 'indonesia', 'nanah', 'bahan', 'pokok', 'jawa', 'tujuh', 'beras', 'mahal']",Positif
"Setuju ibu kota pindah ke kalimantan,krn kalimantan tuh hsil bumi bnyk n udh berjasa buat apbn,anis nih pintar omong tpi gak pkai otak,pak jokowi ngomong pkai otak,dy udh mewanti2 sblum bertindak,jakrta gak lma lgi tenggelam",setuju ibu kota pindah ke kalimantan krn kalimantan tuh hsil bumi bnyk n udh berjasa buat apbn anis nih pintar omong tpi gak pkai otak pak jokowi ngomong pkai otak dy udh mewanti sblum bertindak jakrta gak lma lgi tenggelam,"['tuju', 'kota', 'pindah', 'kalimantan', 'kalimantan', 'hasil', 'bumi', 'n', 'jasa', 'apbn', 'pintar', 'omong', 'pkai', 'otak', 'jokowi', 'ngomong', 'pkai', 'otak', 'mewanti', 'tindak', 'jakarta', 'lma', 'tenggelam']","['tujuh', 'kota', 'pindah', 'kalimantan', 'kalimantan', 'hasil', 'bumi', 'n', 'jasa', 'apbn', 'pintar', 'omong', 'pkb', 'otak', 'jokowi', 'ngepung', 'pkb', 'otak', 'meranti', 'tindak', 'jakarta', 'lma', 'tenggelam']",Positif
"​ @RachmadHidayat-xm7xc  bro lu pikir 600 T itu utuh sampai daerah masing2? 
Mending bangun IKN, Dan IKN bukan semata Ibu kota tpi tempat pemerintahan untuk menjangkau daerah lain",xm xc bro lu pikir t itu utuh sampai daerah masing mending bangun ikn dan ikn bukan semata ibu kota tpi tempat pemerintahan untuk menjangkau daerah lain,"['pikir', 'utuh', 'daerah', 'mending', 'bangun', 'ikn', 'ikn', 'kota', 'perintah', 'jangkau', 'daerah']","['pikir', 'utuh', 'daerah', 'menuding', 'bangun', 'ikn', 'ikn', 'kota', 'perintah', 'jangkau', 'daerah']",Positif
Setuju ikn tranformasi pemerataan pembangunan Jakarta dah terlalu padat,setuju ikn tranformasi pemerataan pembangunan jakarta dah terlalu padat,"['tuju', 'ikn', 'tranformasi', 'perata', 'bangun', 'jakarta', 'padat']","['tujuh', 'ikn', 'transformasi', 'peraga', 'bangun', 'jakarta', 'padat']",Positif
​ @channelone2248 merambah kemana mana ...itu IKN ibu kota Indonesia karena jkrta  sdh padat penduduk banjir tidak dapat di atasi jalanan dibuat sumur dibolong bolongin jadi kota terburuk sedunia khususnya masalah polusi.kemajuan IKN nantibakan merambah ke seluruh Indonesia jgn nilai untuk hari ini tapi untuk kedepannya,merambah kemana mana itu ikn ibu kota indonesia karena jkrta sdh padat penduduk banjir tidak dapat di atasi jalanan dibuat sumur dibolong bolongin jadi kota terburuk sedunia khususnya masalah polusi kemajuan ikn nantibakan merambah ke seluruh indonesia jgn nilai untuk hari ini tapi untuk kedepannya,"['rambah', 'mana', 'ikn', 'kota', 'indonesia', 'jkrta', 'padat', 'duduk', 'banjir', 'atas', 'jalan', 'sumur', 'bolong', 'bolong', 'kota', 'buruk', 'dunia', 'polusi', 'maju', 'ikn', 'nantibakan', 'rambah', 'indonesia', 'nilai', 'depan']","['rambat', 'mana', 'ikn', 'kota', 'indonesia', 'jkt', 'padat', 'duduk', 'banjir', 'atas', 'jalan', 'sumur', 'bodong', 'bodong', 'kota', 'buruk', 'dunia', 'polusi', 'maju', 'ikn', 'nantinya', 'rambat', 'indonesia', 'nilai', 'depan']",Positif
" @KillerGaming-me5sj  Darimana logikanya kalau IKN maju, daerah lain maju ???  Daerah maju karena ada kebijakan Pusat/daerah untuk memajukan daerah bersangkutan..Lihat aja Jakarta maju, tapi tetangga dekatnya masih banyak yg miskin bahkan ada yg masuk daerah termiskin di Indonesia..",me sj darimana logikanya kalau ikn maju daerah lain maju daerah maju karena ada kebijakan pusat daerah untuk memajukan daerah bersangkutan lihat aja jakarta maju tapi tetangga dekatnya masih banyak yg miskin bahkan ada yg masuk daerah termiskin di indonesia,"['logika', 'ikn', 'maju', 'daerah', 'maju', 'daerah', 'maju', 'bijak', 'pusat', 'daerah', 'maju', 'daerah', 'sangkut', 'lihat', 'jakarta', 'maju', 'tetangga', 'dekat', 'miskin', 'masuk', 'daerah', 'miskin', 'indonesia']","['logika', 'ikn', 'maju', 'daerah', 'maju', 'daerah', 'maju', 'bijak', 'pusat', 'daerah', 'maju', 'daerah', 'sangit', 'lihat', 'jakarta', 'maju', 'tetangga', 'dekat', 'miskin', 'masuk', 'daerah', 'miskin', 'indonesia']",Negatif
 @channelone2248  contoh : pekerja yg berada di IKN orang daerah menghasilkan devisa untuk keluarganya ..dll....dll...begitu juga pengusaha....,contoh pekerja yg berada di ikn orang daerah menghasilkan devisa untuk keluarganya dll dll begitu juga pengusaha,"['kerja', 'ikn', 'orang', 'daerah', 'hasil', 'devisa', 'keluarga', 'usaha']","['kerja', 'ikn', 'orang', 'daerah', 'hasil', 'devisa', 'keluarga', 'usaha']",Positif
" @KillerGaming-me5sj  coba bandingkan kalau Pembangunan bukan hanya di IKN, tapi menyebar ke banyak kota2 di seluruh Indonesia..Lebih banyak orang daerah dapat pekerjaan dan terjadi lebih merata..",me sj coba bandingkan kalau pembangunan bukan hanya di ikn tapi menyebar ke banyak kota di seluruh indonesia lebih banyak orang daerah dapat pekerjaan dan terjadi lebih merata,"['coba', 'banding', 'bangun', 'ikn', 'sebar', 'kota', 'indonesia', 'orang', 'daerah', 'kerja', 'rata']","['coba', 'bandeng', 'bangun', 'ikn', 'sebar', 'kota', 'indonesia', 'orang', 'daerah', 'kerja', 'rata']",Negatif
Kalo orang Malang tetap kekeh ikn dibangun itu tanda nya kehilangan awal sehat tidak tahu tujuan aslinya nya Jokowi mendekatkan ibu kota ke arah laut cina ..... jangan lupa utang ke cina sudah tak mungkin terbayar waktu dekat sehingga dalam keamanan nasional Indonesia sangat lemah dan sangat gampang di kuasai negara lain.....,kalo orang malang tetap kekeh ikn dibangun itu tanda nya kehilangan awal sehat tidak tahu tujuan aslinya nya jokowi mendekatkan ibu kota ke arah laut cina jangan lupa utang ke cina sudah tak mungkin terbayar waktu dekat sehingga dalam keamanan nasional indonesia sangat lemah dan sangat gampang di kuasai negara lain,"['orang', 'malang', 'kekeh', 'ikn', 'bangun', 'tanda', 'hilang', 'sehat', 'tahun', 'tuju', 'asli', 'jokowi', 'dekat', 'kota', 'arah', 'laut', 'lupa', 'utang', 'bayar', 'aman', 'nasional', 'indonesia', 'lemah', 'gampang', 'kuasa', 'negara']","['orang', 'malang', 'kek', 'ikn', 'bangun', 'tanda', 'hilang', 'sehat', 'tahun', 'tujuh', 'asli', 'jokowi', 'dekat', 'kota', 'arah', 'laut', 'lupa', 'utang', 'bayar', 'aman', 'nasional', 'indonesia', 'lemah', 'gampang', 'kuasa', 'negara']",Negatif
YANG  UNTUNG  IKN  OLIGARGI  DQN  KELOMPOKNYA  BRO,yang untung ikn oligargi dqn kelompoknya bro,"['untung', 'ikn', 'oligargi', 'kelompok']","['untung', 'ikn', 'oligark', 'kelompok']",Negatif
"bisa membengkak biaya ikn siap"" pajak naik dan rakyat dibebani",bisa membengkak biaya ikn siap pajak naik dan rakyat dibebani,"['bengkak', 'biaya', 'ikn', 'pajak', 'rakyat', 'beban']","['bengkak', 'biaya', 'ikn', 'pajak', 'rakyat', 'beban']",Negatif
"itulah kesalahan pemikiran anis, kalau masalah kota .itu dipimpin oleh wali kota.segala kebijaka di sebuah kota berada di tangan pk walikota.bukan presiden ,anggaran untuk itu juga ada. IKN itu didirikan untuk memperkuat kesatua NKRI,pemrataan pembangunan dan menigkatkan pendapatan dan kemajuan kalimantan.
 @RachmadHidayat-xm7xc ",itulah kesalahan pemikiran anis kalau masalah kota itu dipimpin oleh wali kota segala kebijaka di sebuah kota berada di tangan pk walikota bukan presiden anggaran untuk itu juga ada ikn itu didirikan untuk memperkuat kesatua nkri pemrataan pembangunan dan menigkatkan pendapatan dan kemajuan kalimantan xm xc,"['salah', 'pikir', 'kota', 'pimpin', 'wali', 'kota', 'bijak', 'kota', 'tangan', 'pk', 'walikota', 'presiden', 'anggar', 'ikn', 'diri', 'kuat', 'satu', 'nkri', 'pemrataan', 'bangun', 'menigkatkan', 'dapat', 'maju', 'kalimantan']","['salah', 'pikir', 'kota', 'pimpin', 'wali', 'kota', 'bijak', 'kota', 'tangan', 'pk', 'walikota', 'presiden', 'anggar', 'ikn', 'diri', 'kuat', 'satu', 'nkri', 'pemerataan', 'bangun', 'meningkatkan', 'dapat', 'maju', 'kalimantan']",Positif
Banyak ngomong tidak dasar keadaan dan kondisi IKN........ Ini akan hancur ibu kota ikn....,banyak ngomong tidak dasar keadaan dan kondisi ikn ini akan hancur ibu kota ikn,"['ngomong', 'dasar', 'kondisi', 'ikn', 'hancur', 'kota', 'ikn']","['ngepung', 'dasar', 'kondisi', 'ikn', 'hancur', 'kota', 'ikn']",Negatif
"Bener bnget. Justru kita mempersiapkan dulu ibu kota ditempat yg baru.jakarta kondisi nya sdah tdk mampu lagi menampung beban yg sangat berlebihan ini. Kalimantan ini luas pak, risiko bencananya juga sedikit.hutan yg di tebang juga hutan produksi bukan hutan lindung",bener bnget justru kita mempersiapkan dulu ibu kota ditempat yg baru jakarta kondisi nya sdah tdk mampu lagi menampung beban yg sangat berlebihan ini kalimantan ini luas pak risiko bencananya juga sedikit hutan yg di tebang juga hutan produksi bukan hutan lindung,"['kota', 'tempat', 'jakarta', 'kondisi', 'tampung', 'beban', 'kalimantan', 'luas', 'risiko', 'bencana', 'hutan', 'tebang', 'hutan', 'produksi', 'hutan', 'lindung']","['kota', 'tempat', 'jakarta', 'kondisi', 'tampung', 'beban', 'kalimantan', 'luas', 'risiko', 'bencana', 'hutang', 'tebang', 'hutang', 'produksi', 'hutang', 'lindung']",Positif
"Kami rakyat mendukung penuh perubahan,IKN,boleh di bangun setelah rakyat SDH makmur dan sejahtera,IKN,membohongi rakyat oleh rezim ini",kami rakyat mendukung penuh perubahan ikn boleh di bangun setelah rakyat sdh makmur dan sejahtera ikn membohongi rakyat oleh rezim ini,"['rakyat', 'dukung', 'penuh', 'ubah', 'ikn', 'bangun', 'rakyat', 'makmur', 'sejahtera', 'ikn', 'bohong', 'rakyat', 'rezim']","['rakyat', 'dukung', 'penuh', 'ubah', 'ikn', 'bangun', 'rakyat', 'makmur', 'sejahtera', 'ikn', 'bohong', 'rakyat', 'rezim']",Negatif
Presiden terpilih adalah calon yang mampu meneruskan program IKN sampai tuntas dan sempurna,presiden terpilih adalah calon yang mampu meneruskan program ikn sampai tuntas dan sempurna,"['presiden', 'pilih', 'calon', 'terus', 'program', 'ikn', 'tuntas', 'sempurna']","['presiden', 'pilih', 'calon', 'terus', 'program', 'ikn', 'tuntas', 'sempurna']",Positif
"Yg setuju ikn lanjut
Berarti mendukung para koruptor memperkaya diri.. 
Yakin lah bnyak tikus yg menggerogoti dana ikn.. Aji mumpung",yg setuju ikn lanjut berarti mendukung para koruptor memperkaya diri yakin lah bnyak tikus yg menggerogoti dana ikn aji mumpung,"['tuju', 'ikn', 'dukung', 'korupsi', 'kaya', 'banyak', 'tikus', 'gerogot', 'dana', 'ikn', 'mumpung']","['tujuh', 'ikn', 'dukung', 'korupsi', 'kaya', 'banyak', 'tikus', 'gelogok', 'dana', 'ikn', 'mumpung']",Negatif
Klow kalimantan di buat perkotaan semua maka istilah kota hijau tidak pernah ada.. menurutku ikn di bangun itu sudah benar dengan konsepnya...  Akan ada penanaman pohon yg usianya cepat tumbuh besar dlm 7 tahun..,klow kalimantan di buat perkotaan semua maka istilah kota hijau tidak pernah ada menurutku ikn di bangun itu sudah benar dengan konsepnya akan ada penanaman pohon yg usianya cepat tumbuh besar dlm tahun,"['kalimantan', 'kota', 'istilah', 'kota', 'hijau', 'turut', 'ikn', 'bangun', 'konsep', 'tanam', 'pohon', 'usia', 'cepat', 'tumbuh']","['kalimantan', 'kota', 'istilah', 'kota', 'hijau', 'turut', 'ikn', 'bangun', 'konsep', 'tanam', 'pohon', 'usa', 'cepat', 'tumbuh']",Negatif
"Aku tidak setuju banget kalau ibu kota Jakarta di pindah di Kalimantan karena yang dikhawatirkan berakibat kurangnya paru-paru Indonesia 
Yg dikhawatirkan nantinya pasti ada penambahan pembangunan-pembangunan yg lainnya kelak.Bukannya sekarang ini di Indonesia lagi butuh paru- paru kota untuk mengurangi polusi udara.mengapa paru- paru kota Indonesia malah dikurangi.
Dan akhirnya pemindahan IKN tersebut akan menghilangkan story sejarah Indonesia.
Lagian lucu juga Istana negara di jakarta kok Ibu kotanya di Kalimantan.
Lebih baik di batalkan saja IKNnya.",aku tidak setuju banget kalau ibu kota jakarta di pindah di kalimantan karena yang dikhawatirkan berakibat kurangnya paru paru indonesia yg dikhawatirkan nantinya pasti ada penambahan pembangunan pembangunan yg lainnya kelak bukannya sekarang ini di indonesia lagi butuh paru paru kota untuk mengurangi polusi udara mengapa paru paru kota indonesia malah dikurangi dan akhirnya pemindahan ikn tersebut akan menghilangkan story sejarah indonesia lagian lucu juga istana negara di jakarta kok ibu kotanya di kalimantan lebih baik di batalkan saja iknnya,"['tuju', 'kota', 'jakarta', 'pindah', 'kalimantan', 'khawatir', 'akibat', 'kurang', 'paru', 'paru', 'indonesia', 'khawatir', 'tambah', 'bangun', 'bangun', 'kelak', 'indonesia', 'butuh', 'paru', 'paru', 'kota', 'kurang', 'polusi', 'udara', 'paru', 'paru', 'kota', 'indonesia', 'rang', 'pindah', 'ikn', 'hilang', 'cerita', 'sejarah', 'indonesia', 'lucu', 'istana', 'negara', 'jakarta', 'kota', 'kalimantan', 'batal', 'ikn']","['tujuh', 'kota', 'jakarta', 'pindah', 'kalimantan', 'khawatir', 'akibat', 'kurang', 'paru', 'paru', 'indonesia', 'khawatir', 'tambah', 'bangun', 'bangun', 'kelak', 'indonesia', 'butuh', 'paru', 'paru', 'kota', 'kurang', 'polusi', 'udara', 'paru', 'paru', 'kota', 'indonesia', 'rand', 'pindah', 'ikn', 'hilang', 'cerita', 'sejarah', 'indonesia', 'lucu', 'istana', 'negara', 'jakarta', 'kota', 'kalimantan', 'batal', 'ikn']",Negatif
Ini yg seharusnya diperhatikan bukan tanah yg menurun akan tetapi air yg meluap seharusnya menjaga kelestarian budaya menjaga lingkungan! Dari kebersihan. Dan bobot beban yg di kurangi kepadatannya... Seperti peremajaan otomotif dan produksi yg tidak terkontrol berapa banyaknya yg di produksi,ini yg seharusnya diperhatikan bukan tanah yg menurun akan tetapi air yg meluap seharusnya menjaga kelestarian budaya menjaga lingkungan dari kebersihan dan bobot beban yg di kurangi kepadatannya seperti peremajaan otomotif dan produksi yg tidak terkontrol berapa banyaknya yg di produksi,"['perhati', 'tanah', 'turun', 'air', 'luap', 'jaga', 'lestari', 'budaya', 'jaga', 'lingkung', 'bersih', 'bobot', 'beban', 'kurang', 'padat', 'remaja', 'otomotif', 'produksi', 'kontrol', 'banyak', 'produksi']","['permata', 'tanah', 'turun', 'air', 'luas', 'jaga', 'lestari', 'budaya', 'jaga', 'lindung', 'bersih', 'bobot', 'beban', 'kurang', 'padat', 'remaja', 'otomotif', 'produksi', 'kontrol', 'banyak', 'produksi']",Negatif
apannya yang hebat. hutangnya ya.,apannya yang hebat hutangnya ya,"['hebat', 'hutang']","['hebat', 'hutang']",Negatif
bener skali.. nyari pemimpin itu harus yg bisa kerja Nyata.. jangan cuma bisa kerja bicara.. buang ke laut yg kaya gtu. salam waras 👌,bener skali nyari pemimpin itu harus yg bisa kerja nyata jangan cuma bisa kerja bicara buang ke laut yg kaya gtu salam waras,"['nyari', 'pimpin', 'kerja', 'nyata', 'kerja', 'bicara', 'buang', 'laut', 'waras']","['nyari', 'pimpin', 'kerja', 'nyata', 'kerja', 'bicara', 'buang', 'laut', 'waras']",Positif
"Intinya ketakutan bila IKN selesai dibangun..,😂😂🤣😜, Nama Jokowi semakin Harum, nama Jokowi dikenang sebagai presiden terbaik dengan prestasi cemerlang.  
Mantap 👍👍👍 Jokowi tetap yang terbaik",intinya ketakutan bila ikn selesai dibangun nama jokowi semakin harum nama jokowi dikenang sebagai presiden terbaik dengan prestasi cemerlang mantap jokowi tetap yang terbaik,"['inti', 'takut', 'ikn', 'selesai', 'bangun', 'nama', 'jokowi', 'harum', 'nama', 'jokowi', 'kenang', 'presiden', 'baik', 'prestasi', 'cemerlang', 'mantap', 'jokowi', 'baik']","['inti', 'takut', 'ikn', 'selesai', 'bangun', 'nama', 'jokowi', 'harus', 'nama', 'jokowi', 'kening', 'presiden', 'baik', 'prestasi', 'cemerlang', 'mantap', 'jokowi', 'baik']",Positif
"Emang kamu tau, kok jadi kamu yg mikirin hutang apa hidup anda susah sejak presiden jokowi!???
Bagai mana nasib hidup anda sebelum nya?",emang kamu tau kok jadi kamu yg mikirin hutang apa hidup anda susah sejak presiden jokowi bagai mana nasib hidup anda sebelum nya,"['tau', 'mikirin', 'hutang', 'hidup', 'susah', 'presiden', 'jokowi', 'nasib', 'hidup']","['tahu', 'mikirin', 'hutang', 'hidup', 'susah', 'presiden', 'jokowi', 'nasib', 'hidup']",Negatif
"Yg perlu lebih dulu,rakyat merasa aman ,harga terjangkau,kaya miskin bisa ikut pendidikan,demokrasi berlanjut",yg perlu lebih dulu rakyat merasa aman harga terjangkau kaya miskin bisa ikut pendidikan demokrasi berlanjut,"['rakyat', 'aman', 'harga', 'jangkau', 'miskin', 'didik', 'demokrasi', 'lanjut']","['rakyat', 'aman', 'harga', 'jangkau', 'miskin', 'didik', 'demokrasi', 'lanjut']",Positif
Kalau ga bisa Diplomasi bagaimana negara lain percaya,kalau ga bisa diplomasi bagaimana negara lain percaya,"['diplomasi', 'negara', 'percaya']","['diplomasi', 'negara', 'percaya']",Positif
"Rakyat ingin keadian sosial yg adil n beradab,pendidikan terjangkau oleh semua lapisan,ahlak bangsa yg bagus",rakyat ingin keadian sosial yg adil n beradab pendidikan terjangkau oleh semua lapisan ahlak bangsa yg bagus,"['rakyat', 'adi', 'sosial', 'adil', 'n', 'adab', 'didik', 'jangkau', 'lapis', 'ahlak', 'bangsa', 'bagus']","['rakyat', 'adil', 'sosial', 'adil', 'n', 'adab', 'didik', 'jangkau', 'lapis', 'ahmad', 'bangsa', 'bagus']",Positif
